,sort_gp,names,alias,score
443,a,aida engineering ltd,aia engineering ltd,87
611,a,alithya group inc-class a,alithya group inc class a,90
660,a,alliance resource partners lp,alliance resource partners,95
870,a,america movil sab de cv adr class a,america movil sab de cv adr,87
1067,a,andatee china marine fuel services,andatee china marine fuel se,90
1116,a,anhui yingjia distillery c-a,anhui gujing distillery co-a,86
1119,a,anik industries limited,aarti industries limited,89
1185,a,apar industries limited,aarti industries limited,94
1434,a,arrowhead pharmaceuticals in,arena pharmaceuticals inc,87
1435,a,arrowhead pharmaceuticals inc,arena pharmaceuticals inc,88
2238,b,bassett furniture industries,bassett furniture inds,88
2663,b,blackrock munivest fund,blackrock muniassets fund,88
2664,b,blackrock munivest fund ii,blackrock muniassets fund,94
3311,c,canadian utilities ltd-a,canadian utilities ltd b,86
3422,c,capitol federal financial inc,capitol federal financial in,88
3549,c,casella waste systems inc-a,casella waste systems inc,86
3584,c,catabasis pharmaceuticals in,cannabics pharmaceuticals in,89
3607,c,cavco industries inc.,cavco industries inc,90
3727,c,central garden & pet company a,central garden & pet company,86
3815,c,ch robinson worldwide inc,c h robinson worldwide inc,88
3862,c,charter communications inc-a,charter communications inc,86
4029,c,china glass holdings ltd,china gas holdings ltd,86
4302,c,cinda international holdings,china international holdings,86
4942,c,cotta co ltd,cota co ltd,86
5050,c,crinetics pharmaceuticals in,cannabics pharmaceuticals in,86
5114,c,csl limited,cesc limited,87
5118,c,csr limited,cesc limited,87
5488,d,denka co ltd,dena co ltd,86
5576,d,diamond hill investment grp,diamond hill investment group inc,90
5823,d,du pont (e.i.) de nemours,du pont (e i) de nemours,100
5853,d,dupont de nemours inc,dupont  de nemours inc,90
6159,e,electronic systems technolog,electronic sensor technology,86
6431,e,enterprise financial services,enterprise financial service,98
6598,e,eton pharmaceuticals inc,easton pharmaceuticals inc,86
6832,f,farmer bros. co,farmer bros co,90
7007,f,first business financial services,first business financial ser,92
7095,f,first trust eurozone alphadx,first trust alphadex europea,89
7125,f,first us bancshares inc,first bancshares inc/ms,86
8377,g,grupe sab de cv,gruma sab de cv,87
8387,g,grupo televisa sab-ser cpo,grupo televisa sa-ser a,90
8696,h,hci group inc,hc group inc,86
9108,h,"hope bancorp, inc.",hope bancorp inc,90
9169,h,hovnanian enterprises-a,hovnanian enterprises inc,88
9681,i,innovative pharmaceutical bi,innovation pharmaceuticals i,89
10240,j,jefferies financial grp inc,jefferies financial group inc,86
10316,j,jinling pharmaceutical-a,jiangzhong pharmaceutical-a,86
10655,k,kesoram industries limited,kei industries limited,88
10778,k,kiri industries limited,kei industries limited,93
10883,k,koolearn technology holding,karin technology holdings,88
10984,k,kyokuyo co ltd,kokuyo co ltd,86
11594,m,m&t bank corp,m & t bank corp,90
11628,m,macy’s inc,macy's inc,90
11686,m,maiden holdings ltd,maiden holding ltd,87
11887,m,mason group holdings ltd,madison holdings group ltd,86
11947,m,max financial services ltd,mas financial services ltd,86
12008,m,mckesson europe ag - adr,mckesson europe ag,90
12209,m,merrimack pharmaceuticals in,mera pharmaceuticals inc,88
12246,m,metech international ltd,memtech international ltd,88
12447,m,mirc electronics limited,mic electronics limited,98
12548,m,mobimo holding ag-reg,mobilezone holding ag-reg,87
12689,m,motorcar parts of america inc,motorcar parts of america in,88
13273,n,nii holdings inc,ni holdings inc,87
14050,o,overseas shipholding group-a,overseas shipholding group,86
14076,o,o’reilly automotive inc,o'reilly automotive inc,90
14629,p,pingtan marine enterprise ltd,pingtan marine enterprise lt,88
14886,p,prakash industries limited,praj industries limited,90
14952,p,principal financial grp inc,principal financial group inc,86
15174,q,qcr holdings inc,qc holdings inc,87
15284,q,qurate retail inc-series a,qurate retail inc series a,90
15550,r,regenerx biopharmaceuticals,regeneron pharmaceuticals,88
15876,r,rogers communications inc-b,rogers communications inc,86
16338,s,schindler holding ag-reg,schaffner holding ag-reg,88
16680,s,shell midstream partners lp,sanchez midstream partners l,87
17003,s,sirius xm holdings inc,sirius xm holding inc,88
17055,s,skye petroleum inc,sky petroleum inc,87
17119,s,smtc corporation,smc corporation,87
17151,s,softline ag,softing ag,86
17424,s,sprott physical gold and silver trust,sprott physical gold and sil,86
17426,s,sprott physical silver trust,sprott physical gold and sil,86
17504,s,star cement limited,sagar cements limited,90
17669,s,strategic investments a/s,strategic global investments,87
17802,s,suncorp-metway ltd,suncorp metway ltd,90
18146,t,taoping inc.,taoping inc,90
18201,t,taxus pharmaceuticals holdin,taisho pharmaceutical holdin,89
18265,t,teck resources ltd-cls b,teck resources ltd class b,86
19100,u,u.s. bancorp,u s bancorp,90
19381,v,vale sa-sp adr,vale sa adr,88
19573,v,vestin realty mortgage ii,vestin realty mortgage i inc,94
19691,v,visaka industries limited,vadilal industries limited,86
19818,v,vst industries limited,vadilal industries limited,89
19936,w,watts water technologies-a,water ways technologies inc,87
20072,w,wheeler real estate investme,wharf real estate investment,86
20254,w,world poker fund holdings inc,world poker fund holdings in,88
20437,y,yandex nv-a,yandex nv,90
20533,y,yum! brands inc,yum brands inc,90
